"item_name","category","trade","unit","unit_price","low_market","high_market","notes"
"Diamond Wet Saw Blade (10"")","Installation Tools","Tile","per blade","75.0","65.0","95.0","Porcelain and stone cutting"
"Notched Trowel (1/4"" x 3/8"")","Installation Tools","Tile","each","15.0","12.0","20.0","Thinset application"
"Copper Pipe Type L 1/2"" x 10ft","Pipe - Copper","Plumbing","10 ft stick","47.0","40.0","55.0","Most common residential supply; pressure-rated"
"Copper Pipe Type L 3/4"" x 10ft","Pipe - Copper","Plumbing","10 ft stick","68.0","58.0","80.0","Main supply runs"
"Copper Pipe Type M 1/2"" x 10ft","Pipe - Copper","Plumbing","10 ft stick","34.0","30.0","42.0","Lighter wall; non-pressure drain/vent"
"Copper Pipe Type M 3/4"" x 10ft","Pipe - Copper","Plumbing","10 ft stick","50.0","44.0","60.0","Main supply runs / standard vent"
"Copper Fittings 1/2"" Elbow (pkg 10)","Pipe - Copper","Plumbing","10-pack","18.0","14.0","24.0","Wrought copper; press or sweat"
"Copper Fittings 1/2"" Coupling (pkg 10)","Pipe - Copper","Plumbing","10-pack","16.0","12.0","22.0","Inline pipe joining"
"Copper Fittings 3/4"" to 1/2"" Reducer","Pipe - Copper","Plumbing","each","4.5","3.5","6.0","Transition fitting"
"PEX-B Tubing 1/2"" x 100ft Roll","PEX Piping","Plumbing","100 ft roll","65.0","55.0","78.0","Flexible water supply lines"
"PEX-B Tubing 3/4"" x 100ft Roll","PEX Piping","Plumbing","100 ft roll","110.0","95.0","130.0","Main supply lines"
"PEX Crimp Rings 1/2"" (pkg 100)","PEX Piping","Plumbing","100-pack","12.0","10.0","16.0","Copper crimp connection"
"PEX Crimp Rings 3/4"" (pkg 100)","PEX Piping","Plumbing","100-pack","18.0","15.0","24.0","3/4"" main line connection"
"PEX Brass Tee 1/2"" (pkg 5)","PEX Piping","Plumbing","5-pack","15.0","12.0","20.0","Branch line split"
"PEX Shut-off Valve 1/2"" Barb x 3/8"" Comp","Valves & Drains","Plumbing","each","12.0","9.5","16.0","Sink or toilet supply stop"
"Shower Mixing Valve Body (Pressure Balance)","Valves & Drains","Plumbing","each","110.0","95.0","145.0","Rough-in valve (Moen/Delta/Kohler)"
"Shower Diverter Valve (3-way)","Valves & Drains","Plumbing","each","145.0","125.0","185.0","For hand shower or multiple showerheads"
"PVC Drain Assembly 2"" (Shower Floor)","Valves & Drains","Plumbing","each","38.0","32.0","48.0","Standard solvent weld shower drain"
"Linear Shower Drain (Stainless 32"")","Valves & Drains","Plumbing","each","180.0","150.0","240.0","Modern curbless shower drainage"
"Oatey PVC Shower Pan Liner (per sq ft)","Valves & Drains","Plumbing","per sq ft","1.2","1.0","1.6","Traditional liner membrane"
"PVC Primer & Cement Kit (8 oz)","Fittings & Supplies","Plumbing","kit","14.0","12.0","18.0","Solvent welding for PVC drain lines"
"Lead-free Solder & Flux Kit","Fittings & Supplies","Plumbing","kit","22.0","18.0","28.0","Sweating copper joints"
"Teflon Tape (pkg 3 rolls)","Fittings & Supplies","Plumbing","3-pack","4.0","3.0","6.0","Thread seal for fittings"
"Pipe Insulation 1/2"" x 6ft","Fittings & Supplies","Plumbing","6 ft tube","3.5","2.5","5.0","Prevent freezing in exterior walls"
"Demo / Remove Existing Tile","Labor","Tile","per sq ft","7.5","75.0","93.75","Includes haul-away; add 20% for wall tile demo"
"Subfloor Prep / Leveling (SLC)","Labor","Tile","per sq ft","11.25","75.0","93.75","Self-leveling compound application"
"Backer Board / Membrane Install","Labor","Tile","per sq ft","9.0","75.0","93.75","DITRA or cement board; includes fastening"
"Waterproof Membrane Application","Labor","Tile","per sq ft","6.0","75.0","93.75","RedGard or sheet membrane; shower pans extra"
"Standard Floor Tile Set (12""x12"" ceramic)","Labor","Tile","per sq ft","22.5","75.0","93.75","Thinset, set, and grout; basic pattern"
"Large-Format Floor Tile (>18"" porcelain)","Labor","Tile","per sq ft","38.25","85.0","106.25","More time for leveling and back-buttering"
"Wall Tile Set (standard subway/ceramic)","Labor","Tile","per sq ft","28.0","80.0","100.0","Vertical set; includes grouting"
"Shower Wall Tile (full surround)","Labor","Tile","per sq ft","45.0","90.0","112.5","Includes waterproofing; CO dry climate adds complexity"
"Mosaic Tile Sheet Set (sheets on mesh)","Labor","Tile","per sq ft","36.0","80.0","100.0","Precise spacing and leveling required"
"Custom Shower Pan Build (mud bed + slope)","Labor","Tile","flat rate","450.0","85.0","106.25","Sloped mortar bed with pre-slope and liner"
"Custom Shower Niche / Bench Build","Labor","Tile","each","175.0","75.0","93.75","Framing, waterproofing, and tile set per niche/bench"
"Curbless Shower Transition Framing","Labor","Tile","flat rate","320.0","80.0","100.0","Recessing subfloor for zero-entry shower"
"Grout Sealing & Final Cleanup","Labor","Tile","per sq ft","1.5","65.0","81.25","Penetrating sealer application and debris removal"
"Rough-in Copper Supply Lines (per fixture)","Labor","Plumbing","fixture","225.0","90.0","112.5","Running new 1/2"" copper lines from main"
"PEX Supply Line Run (per fixture)","Labor","Plumbing","fixture","160.0","80.0","100.0","Flexible PEX installation"
"Shower Valve Rough-in & Pressure Test","Labor","Plumbing","each","275.0","95.0","118.75","Mounting mixing valve and testing pressure"
"Shower Pan Drain Tie-in","Labor","Plumbing","each","180.0","85.0","106.25","Connecting drain to existing waste stack"
"Toilet Removal & Reset","Labor","Plumbing","each","150.0","75.0","93.75","Includes new wax ring and supply line"
"Sink / Vanity Plumbing Hookup","Labor","Plumbing","fixture","185.0","85.0","106.25","P-trap, supply lines, and fixture connection"
"Tub / Shower Trim Install (handles/head)","Labor","Plumbing","fixture","120.0","85.0","106.25","Final trim installation after tile is complete"
"Pressure Test Water Lines","Labor","Plumbing","flat rate","150.0","85.0","106.25","Required inspection test for Douglas County permits"
"Fixture Leak Inspection & Certification","Labor","Plumbing","flat rate","125.0","85.0","106.25","Final sign-off check"
